KEY,標準,標準_日本語,倉庫,倉庫_日本語,FUJI,FUJI_日本語,FUJI岡崎,FUJI豊田,FUJI豊田(機械加工),ELS,明和,東栄電機,NFT,東芝産業機器システム,フジプレアム,ツガル精密機器,富士電機,日本マイクロニクス
key.Remove,Remove,削除,,,,,,,,,,,,,,,,
key.RemoveFlg,RemoveFlg,削除フラグ,,,,,,,,,,,,,,,,
key.ReplenishmentNumber,Replenishment number,補充枝番,,,,,,,,,,,,,,,,
key.ReportList,ReportList,帳票一覧,,,,,,,,,,,,,,,,
key.ReportListExistMessage,%s report exist.,%s個の帳票が存在します。,,,,,,,,,,,,,,,,
key.ReportName,ReportName,レポート名,,,,,,,,,,,,,,,,
key.ReportTemplateFile,Report Template,出力対象の帳票テンプレート,,,,,,,,,,,,,,,,
key.RequestNumber,Request number,要求数,Request number,要求数,,,,,,,,,,,,,,
key.RequiredItemNotExist,RequiredItemNotExist,必須項目がありません。,,,,,,,,,,,,,,,,
key.RequiredMark,*,*,,,,,,,,,,,,,,,,
key.ReserveInventory,Reserve Inventory,引当在庫数,Reserve Inventory,引当在庫数,,,,,,,,,,,,,,
key.Result,Result,結果,,,,,,,,,,,,,,,,
key.Retry,Retry,再試行,,,,,,,,,,,,,,,,
key.revise,Revise,改訂,,,,,,,,,,,,,,,,
key.revise.inquiryMessage,Do you revise the %s?\n\tRevision : %d,%sを改訂しますか？\n\t版数 : %d,,,,,,,,,,,,,,,,
key.Revocation,Revocation,取り消し,,,,,,,,,,,,,,,,
key.RosterNone,予定なし,予定なし,,,,,,,,,,,,,,,,
key.RosterPlans,予定あり,予定あり,,,,,,,,,,,,,,,,
key.RowCount,行数,行数,,,,,,,,,,,,,,,,
key.sampleNum,,,,,Samples,サンプル数,〇,,,,,,,,,,,
key.Saturday,Sat,土曜日,,,,,,,,,,,,,,,,
key.Save,Save,保存,,,,,,,,,,,,,,,,
key.SaveDate,SaveDate,保存日時,,,,,,,,,,,,,,,,
key.SaveSetting,SaveSettings,設定保存,,,,,,,,,,,,,,,,
key.SaveToServer,Save to the server,サーバーに保存する,,,,,,,,,,,,,,,,
key.schedule,スケジュール機能,スケジュール機能,,,,,,,,,,,,,,,,
key.ScheduledCompletionDatetime,完了予定日時,完了予定日時,,,,,,,,,,,,,,,,
key.ScheduledDate,Scheduled date,予定日,Scheduled date,予定日,,,,,,,,,,,,,,
key.ScheduleDisplaySize,Schedule display size,予定表示サイズ,,,,,,,,,,,,,,,,
key.ScheduledTime,予定時間,予定時間,,,,,,,,,,,,,,,,
key.ScheduleMontlyOrganization,Schedule Montly Organization,月次作業者\r予定,,,,,,,,,,,,,,,,
key.ScheduleMontlyProduction,,,,,Schedule Montly Production,月次生産計画,〇,,,,,,,,,,,
key.SchedulePolicy,Schedule Policy,作業順序,,,,,,,,,,,,,,,,
key.ScheduleTitle,,,,,Schedule,スケジュールの確認,〇,,,,,,,,,,,
key.Scheduling,分納,分納,,,,,,,,,,,,,,,,
key.SDEV,standard deviation,標準偏差,,,,,,,,,,,,,,,,
key.Search,Search,検索,,,,,,,,,,,,,,,,
key.SelectAll,All,全て,,,,,,,,,,,,,,,,
key.SelectAndonMonitor,Select  Monitor,進捗モニター選択,,,,,,,,,,,,,,,,
key.SelectedItems,Selected items,選択リスト,,,,,,,,,,,,,,,,
key.SelectInterruptReason,Select interruption reason.,一時停止する理由を選択してください。,,,,,,,,,,,,,,,,
key.SelectKanbanOrOrganization,Please Select Serial/Worker,選択してください,,,,,,,,,,,,,,,,
key.SelectOrder,選択順,選択順,,,,,,,,,,,,,,,,
key.SelectOutputKanbanHierarchy,,,,,Kanban output destination hierarchy,カンバン出力先階層,〇,,,,,,,,,,,
key.SelectUnitTemplate,,,,,Select Template,テンプレート\rの選択,〇,,,,,,,,,,,
key.SelfSourcedParts,自社調達品,自社調達品,,,,,,,,,,,,,,,,
key.Sending,Sending,送信,,,,,,,,,,,,,,,,
key.SendMessage,Would you like to send?,送信しますか？,,,,,,,,,,,,,,,,
key.SendTestMail,SentTestMail,テスト送信,,,,,,,,,,,,,,,,
key.separation,：,：,,,,,,,,,,,,,,,,
key.SerialCommErrUnconnection,Unable to connect to the serial port.,シリアルポートと接続できませんでした。,,,,,,,,,,,,,,,,
key.SerialNumber,Serial Number,シリアル番号,,,,,,,,,,,,,,,,
key.SerialNumberFormatError,The format of the serial number is different,シリアル番号のフォーマットが異なります,,,,,,,,,,,,,,,,
key.SerialNumberKanbanNotCreate,There is a serial number which Kanban could not create,カンバンが作成できなかったシリアル番号があります,,,,,,,,,,,,,,,,
key.SerialNumberMissing,Serial number is missing,シリアル番号が未入力です,,,,,,,,,,,,,,,,
key.Series,Series,直列,,,,,,,,,,,,,,,,
key.ServerErrTitle,Server Error,サーバーエラー,,,,,,,,,,,,,,,,
key.ServerProblemMessage,There was a problem on the server. ,サーバーに問題が発生しました。,,,,,,,,,,,,,,,,
key.ServerProblemRegistrationMessage,There was a problem on the server. Please press the registration button in the case of performing the registration of the \ r again% s.,サーバーに問題が発生しました。\r再び%sの登録を行う場合は登録ボタンを押してください。,,,,,,,,,,,,,,,,
key.ServerReconnectMessage,I could not connect to the server. ,サーバーに接続できませんでした。,,,,,,,,,,,,,,,,
key.ServerReconnectRegistrationMessage,I could not connect to the server. Please press the registration button in the case of performing the registration of the \ r again% s.,サーバーに接続できませんでした。\r再び%sの登録を行う場合は登録ボタンを押してください。,,,,,,,,,,,,,,,,
key.ServerUnknowResponse,An unknown error was returned from the server.,サーバーから不明なエラーが返ってきました,,,,,,,,,,,,,,,,
key.serverURL,サーバー,サーバー,,,,,,,,,,,,,,,,
