KEY,標準,標準_日本語,倉庫,倉庫_日本語,FUJI,FUJI_日本語,FUJI岡崎,FUJI豊田,FUJI豊田(機械加工),ELS,明和,東栄電機,NFT,東芝産業機器システム,フジプレアム,ツガル精密機器,富士電機,日本マイクロニクス
key.confirm.monitorsetting2,Allocation of equipment or break time that does not exist has been deleted.\rDo you want to save?,存在しない設備・休憩時間の割当が削除されています。\r保存しますか?,,,,,,,,,,,,,,,,
key.confirm.removePartsID,Delete the selected part ID. Are you sure?,選択されたパーツIDを削除します。よろしいですか?,,,,,,,,,,,,,,,,
key.ConnectionErrorContent,Cannot connect to server!,サーバーに接続できない!,,,,,,,,,,,,,,,,
key.ConnectionErrorTitle,Connection Error,接続エラー,,,,,,,,,,,,,,,,
key.contactRemoveBreaktimeAssignedOrganization,Also removes the break time you have assigned to the organization?,組織に割り当てている休憩時間も削除しますが、よろしいですか？,,,,,,,,,,,,,,,,
key.contactRemoveRoleAssignedOrganization,Also removes the role you have assigned to the organization?,組織に割り当てている役割も削除しますが、よろしいですか？,,,,,,,,,,,,,,,,
key.Copy,Copy,コピー,,,,,,,,,,,,,,,,
key.CopyMessage,Are you sure you want to copy this item?,コピーしますか？,,,,,,,,,,,,,,,,
key.CopyOrderProcesses,Copy Order Processes,工程順のコピー,,,,,,,,,,,,,,,,
key.CopyProcess,Copy Process,工程のコピー,,,,,,,,,,,,,,,,
key.CopyUnit,,,,,Copy Unit,生産ユニットの\rコピー,〇,,,,,,,,,,,
key.CopyUnitTemplate,,,,,Copy UnitTemplate,ユニットテンプレートの\rコピー,〇,,,,,,,,,,,
key.Count,回,回,,,,,,,,,,,,,,,,
key.CountDay,Day,日目,,,,,,,,,,,,,,,,
key.CountdownMelodySettingLabel,Melody,メロディ,,,,,,,,,,,,,,,,
key.CountdownMelodyType.BeforeCountdown,Before the countdown starts,カウントダウン開始前,,,,,,,,,,,,,,,,
key.CountdownMelodyType.BeforeEndOfBreaktime,Before the end of the break,休憩終了前,,,,,,,,,,,,,,,,
key.CountdownMelodyType.BeforeEndOfCountdown,Before the end of the countdown,カウントダウン終了前,,,,,,,,,,,,,,,,
key.CountdownMelodyType.BreaktimeStart,Start a break,休憩開始,,,,,,,,,,,,,,,,
key.CountdownMelodyType.CountdownStart,Start counting down,カウントダウン開始,,,,,,,,,,,,,,,,
key.CountdownMelodyType.RingTiming,Ring before seconds,秒前に鳴らす,,,,,,,,,,,,,,,,
key.CountdownMelodyType.WorkDelayed,Work delayed,作業遅延中,,,,,,,,,,,,,,,,
key.Create,作成,作成,,,,,,,,,,,,,,,,
key.CreateKanban,New Create kanban,カンバンの\r新規作成,,,,,,,,,,,,,,,,
key.createNew,新規作成,新規作成,,,,,,,,,,,,,,,,
key.CreateOrderProcesses,New Create Workflow,工程順の\r新規作成,,,,,,,,,,,,,,,,
key.CreateProcess,New Create Work,工程の\r新規作成,,,,,,,,,,,,,,,,
key.CreateUnit,,,,,New Create Unit,生産ユニットの\r新規作成,〇,,,,,,,,,,,
key.CreateUnitHierarchy,,,,,New Create UnitHierarchy,生産ユニット階層の\r新規作成,〇,,,,,,,,,,,
key.CreateUnitTemplate,,,,,New Create UnitTemplate,ユニットテンプレートの\r新規作成,〇,,,,,,,,,,,
key.CreateUnitTemplateHierarchy,,,,,New Create UnitTemplateHierarchy,ユニットテンプレート階層の\r新規作成,〇,,,,,,,,,,,
key.custom,Custom,カスタム,,,,,,,,,,,,,,,,
key.CustomField,CustomField,追加情報,,,,,,,,,,,,,,,,
key.CustomInputField,Custom input field,カスタム入力フィールド,,,,,,,,,,,,,,,,
key.CycleTime,CycleTime,サイクルタイム,,,,,,,,,,,,,,,,
key.DailyActualNumPerWork,当日工程計画実績数フレーム.%d,当日工程計画実績数フレーム.%d,,,,,,,,,,,,,,,,
key.DataAcquisition,Data acquisition,データ取得中…,,,,,,,,,,,,,,,,
key.dataRate,,,,,Data rate,データ割合,〇,,,,,,,,,,,
key.DateCompErrMessage,Slower time than the EndTime to the StartTime has been entered. \rPlease enter StartTime < EndTime.,開始日時に終了日時より遅い時間が入力されています。\r開始日時<終了日時になるように入力してください。,,,,,,,,,,,,,,,,
key.DateCompErrMessage2,Slower time than the EndTime to the StartTime has been entered. \rPlease enter StartDate < EndDate.,開始日に終了日より後の日付が入力されています。\r開始日<終了日になるように入力してください。,,,,,,,,,,,,,,,,
key.DateCompErrMessage3,Slower time than the EndTime to the StartTime has been entered. \rPlease enter StartTime < EndTime.,開始時刻に終了時刻より後の時刻が入力されています。\r開始時刻<終了時刻になるように入力してください。,,,,,,,,,,,,,,,,
key.DateFormat,MM/dd/yyyy,yyyy/MM/dd,,,,,,,,,,,,,,,,
key.DateInputOption,年月日,年月日,,,,,,,,,,,,,,,,
key.DateOfEmail,DateOfEmail,メール送信日,,,,,,,,,,,,,,,,
key.Datetime,Date and time,日時,,,,,,,,,,,,,,,,
key.DateTimeFormat,MM/dd/yyyy HH:mm:ss,yyyy/MM/dd HH:mm:ss,,,,,,,,,,,,,,,,
key.DatetimeInputOption,年月日時間,年月日時間,,,,,,,,,,,,,,,,
key.Day,Day,日,,,,,,,,,,,,,,,,
key.DecimalDigits,小数効桁数,小数有効桁数,,,,,,,,,,,,,,,,
key.DefectInfo,Defect info,不良情報,,,,,,,,,,,,,,,,
key.DefectiveProduct,不適合品,不適合品,,,,,,,,,,,,,,,,
key.DefectNum,Defect num,不良数,,,,,,,,,,,,,,,,
key.DefectReason,Defect Reason,不良理由,,,,,,,,,,,,,,,,
key.Delay,Delay,遅延,,,,,,,,,,,,,,,,
key.DelayRanking,delay Ranking,遅延時間ランキング,,,,,,,,,,,,,,,,
key.delayReasons,遅延理由,遅延理由,,,,,,,,,,,,,,,,
key.Delete,Delete,削除,,,,,,,,,,,,,,,,
key.DeleteActual,Delete Actual,実績削除,,,,,,,,,,,,,,,,
key.DeleteAdditionalWork,Remove Additional Work,追加工程の削除,,,,,,,,,,,,,,,,
key.DeleteBPMNWork,,,,,Delete Work,ワークの削除,〇,,,,,,,,,,,
key.DeleteErrExistChangeRequestingData,This item cannot be deleted because a change is being requested,この項目は変更申請中のため削除できません,,,,,,,,,,,,,,,,
key.DeleteErrExistChildDelete,Can not deleted for a selected seaweed holds information,選択した階層は情報を保持しているため削除できません,,,,,,,,,,,,,,,,
key.DeleteErrExistHierarchDelete,The selected seaweed can not be deleted because that holds the other hierarchical information,選択した階層は他の階層情報を保持しているため削除できません,,,,,,,,,,,,,,,,
key.DeleteErrExistUsedHistory,Cannot delete because it is used.,使用実績があるため削除できません,,,,,,,,,,,,,,,,
key.DeleteErrNotFountDelete,It can not deleted because the information has not been selected,情報が選択されていないため削除できません,,,,,,,,,,,,,,,,
key.DeleteErrProtectedData,You can not delete because the information is protected,情報が保護されているため削除できません,,,,,,,,,,,,,,,,
key.DeleteIndirectWork,間接作業の削除,間接作業の削除,,,,,,,,,,,,,,,,
key.DeleteIndirectWorkDetail,作業している間接作業があるので、削除できません。,作業している間接作業があるので、削除できません。,,,,,,,,,,,,,,,,
key.DeleteListItem,Delete ListItem,リストから削除,,,,,,,,,,,,,,,,
key.DeleteMultipleMessage,Are you sure you want to delete these items?,これらの項目を削除しますか？,,,,,,,,,,,,,,,,
key.DeleteOrderProcesses,Delete Order Processes,工程順の削除,,,,,,,,,,,,,,,,
key.DeleteProcess,Delete Process,工程の削除,,,,,,,,,,,,,,,,
key.DeleteSheetMessage,Are you sure you want to delete this sheet?,このシートを削除しますか？,,,,,,,,,,,,,,,,
key.DeleteSingleMessage,Are you sure you want to delete this item?,この項目を削除しますか？,,,,,,,,,,,,,,,,
key.DeleteUnit,,,,,Delete Unit,生産ユニットの\r削除,〇,,,,,,,,,,,
key.DeleteUnitHierarchy,,,,,Delete UnitHierarchy,生産ユニット階層の\r削除,〇,,,,,,,,,,,
key.DeleteUnitTemplate,,,,,Delete UnitTemplate,ユニットテンプレートの\r削除,〇,,,,,,,,,,,
key.DeleteUnitTemplateHierarchy,,,,,Delete UnitTemplateHierarchy,ユニットテンプレート階層の\r削除,〇,,,,,,,,,,,
key.DeliveryDate,Delivery date,出庫日,,,Delivery,納品日,〇,,,,,,,,,,,
key.DeliveryNum,delivery number,出庫数,,,,,,,,,,,,,,,,
key.DetailedReportButton,Go to detailed report,詳細レポートへ移動,,,,,,,,,,,,,,,,
key.DetailedReportMessage,Click the following button to go to the detailed report.,詳細レポートへ移動するには、次のボタンをクリックして下さい。,,,,,,,,,,,,,,,,
key.deviation,Deviation,偏差,,,,,,,,,,,,,,,,
key.deviationValue,,,,,DeviationValue,偏差値,〇,,,,,,,,,,,
key.deviceID,設備識別名,設備識別名,,,,,,,,,,,,,,,,
key.DialogWorkflowSelect,Workflow Select,工程順選択,,,,,,,,,,,,,,,,
key.DialogWorkSettiong,Work Setting,工程設定,,,,,,,,,,,,,,,,
key.Difference,差異,差異,,,,,,,,,,,,,,,,
key.DifferenceThere,is there,差異あり,is there,差異あり,,,,,,,,,,,,,,
key.diplayedSideNum,Displayed Side Number,サイド数表示,,,,,,,,,,,,,,,,
key.DisableEditing,Disable Editing,編集無効,,,,,,,,,,,,,,,,
key.DisapprovalStatus,Disapprove,否,,,,,,,,,,,,,,,,
key.DispAddInfo,Displayed Items,表示項目,,,,,,,,,,,,,,,,
key.displayAll,Display all,全て表示,,,,,,,,,,,,,,,,
key.displayLatestOnly,Latest Only,最新版のみを表示,,,,,,,,,,,,,,,,
key.DisplayName,Display Name,表示名,,,,,,,,,,,,,,,,
key.DisplayNumber,Display number,ディスプレイ番号,,,,,,,,,,,,,,,,
key.DisplayPeriod,Display Period,表示期間（日）,,,,,,,,,,,,,,,,
key.DisplaySetting,Display setting,表示設定,,,,,,,,,,,,,,,,
key.DisplaySettings,Display Settings,画面設定,,,,,,,,,,,,,,,,
key.DisplaySupportResults,Display support results,応援者の実績を表示,,,,,,,,,,,,,,,,
key.DocumentFile,Document File,ドキュメントファイル,,,,,,,,,,,,,,,,
key.DocumentName,Document Name,ドキュメント名,,,,,,,,,,,,,,,,
key.Download,Download,ダウンロード,,,,,,,,,,,,,,,,
key.duringBreaks,休憩中,休憩中,,,,,,,,,,,,,,,,
key.DuringSyncProcess,During the synchronization process,同期処理中,During the synchronization process,同期処理中,,,,,,,,,,,,,,
key.Edit,Edit,編集,,,,,,,,,,,,,,,,
key.EditApprovalRoute,Edit Approval Route,承認ルート一覧の編集,,,,,,,,,,,,,,,,
key.EditAuthority,Edit Authority,権限一覧の編集,,,,,,,,,,,,,,,,
key.EditBreakTime,Edit BreakTime,休憩時間一覧の編集,,,,,,,,,,,,,,,,
key.EditBreakTimeTitle,Edit BreakTime,休憩内容,,,,,,,,,,,,,,,,
key.EditCallReason,Edit Call Reason,呼び出し理由一覧の編集,,,,,,,,,,,,,,,,
key.EditCallReasonTitle,Edit Call Reason,呼び出し理由,,,,,,,,,,,,,,,,
key.EditCancel,Are you sure you want to cancel the edit?,編集をキャンセルしますか？,,,,,,,,,,,,,,,,
key.EditCheckProcess,Edit Checked Process,チェックした工程を編集する,,,,,,,,,,,,,,,,
key.EditDefectReason,Edit Defect Reason,不良理由一覧の編集,,,,,,,,,,,,,,,,
key.EditDelayReason,Edit Delay Reason,遅延理由一覧の編集,,,,,,,,,,,,,,,,
key.EditDelayReasonTitle,Edit Delay Reason,遅延理由,,,,,,,,,,,,,,,,
key.EditedAuth,アクセス権編集,アクセス権編集,,,,,,,,,,,,,,,,
key.EditedResource,Edited Resource,リソース編集,,,,,,,,,,,,,,,,
key.EditEquipmentTitle,Edit Equipment,設備編集,,,,,,,,,,,,,,,,
key.EditEquipmentType,Edit Equipment Type,設備種別一覧の編集,,,,,,,,,,,,,,,,
key.EditIndirectWork,Edit indirect work list,間接作業一覧の編集,,,,,,,,,,,,,,,,
key.Editing,Editing,編集中,,,,,,,,,,,,,,,,
key.EditInputValueTitle,Value,値,,,,,,,,,,,,,,,,
key.EditInterruptReason,Edit Interrupt Reason,中断理由一覧の編集,,,,,,,,,,,,,,,,
key.EditInterruptReasonTitle,Edit Interrupt Reason,中断理由,,,,,,,,,,,,,,,,
key.Edition,Edition,版名,,,,,,,,,,,,,,,,
key.EditKanban,Edit kanban,カンバンの編集,,,,,,,,,,,,,,,,
key.EditKanbanTitle,Edit Plan,カンバン編集,,,,,,,,,,,,,,,,
key.EditLabel,Edit Label,ラベル一覧の編集,,,,,,,,,,,,,,,,
key.EditLabelTitle,Label,ラベル,,,,,,,,,,,,,,,,
key.EditLayout,Edit Layout,画面レイアウトの編集,,,,,,,,,,,,,,,,
key.EditOrderProcesses,Edit Order Processes,工程順の編集,,,,,,,,,,,,,,,,
key.EditOrgnizationTitle,Edit Orgnization,組織編集,,,,,,,,,,,,,,,,
key.EditProcess,Edit Process,工程の編集,,,,,,,,,,,,,,,,
key.EditRole,Edit Role,役割一覧の編集,,,,,,,,,,,,,,,,
key.EditRoleTitle,Role,役割,,,,,,,,,,,,,,,,
key.EditStatus,Edit Status,ステータス一覧の編集,,,,,,,,,,,,,,,,
key.EditSummaryReportTitle,サマリーレポート,サマリーレポート,,,,,,,,,,,,,,,,
key.EditUnit,,,,,EditUnit,生産ユニットの\r編集,〇,,,,,,,,,,,
key.EditUnitHierarchy,,,,,EditUnitHierarchy,生産ユニット階層の\r名前の変更,〇,,,,,,,,,,,
key.EditUnitTemplate,,,,,EditUnitTemplate,ユニットテンプレートの\r編集,〇,,,,,,,,,,,
key.EditUnitTemplateHierarchy,,,,,EditUnitTemplateHierarchy,ユニットテンプレート階層の\r名前の変更,〇,,,,,,,,,,,
key.EditUnitTitle,,,,,Edit Unit,ユニット編集,〇,,,,,,,,,,,
key.EditWorkflowTitle,Edit Workflow,工程・工程順編集,,,,,,,,,,,,,,,,
key.EnableBatchEditing,Enable Batch Editing,一括編集を有効にする,,,,,,,,,,,,,,,,
key.EnableOffsetWorkingHours,To enable the offset of the working hours,就業時間のオフセットを有効にする,,,,,,,,,,,,,,,,
key.endDate,End Date,終了日,,,,,,,,,,,,,,,,
key.EndDateAndTime,End Date And Time,終了日時,,,,,,,,,,,,,,,,
key.EndFlow,End,終了,,,,,,,,,,,,,,,,
key.EndParallelFlow,EndParallelFlow,並列作業終了,,,,,,,,,,,,,,,,
key.EndScheduledDate,End Scheduled Date,終了予定日,,,,,,,,,,,,,,,,
key.EndScheduledTime,End Scheduled Time,終了予定時間,,,,,,,,,,,,,,,,
key.EndTime,End Time,終了時間,,,,,,,,,,,,,,,,
key.EndWorkTime,End work time,終了時間 (hh:mm),,,,,,,,,,,,,,,,
key.EnterSettingItemsBelow,Please enter the setting items below,下記の設定項目を入力してください,,,,,,,,,,,,,,,,
key.Equipment,Equipment,設備,,,,,,,,,,,,,,,,
key.EquipmentIdentifyCountOver,EquipmentIdentifyCountOver256,設備識別名の文字数が256文字を超えています。,,,,,,,,,,,,,,,,
key.EquipmentImportFormatError,The file cannot be loaded. The format is incorrect.,ファイルが読み込めません。フォーマットが正しくありません。,,,,,,,,,,,,,,,,
key.EquipmentImportResultMessage,Import succeeded. \r\nProcessing: %s,設備マスタのインポートに成功しました。\r\n処理件数：%s 件,,,,,,,,,,,,,,,,
key.equipmentManufactureType,製造設備,製造設備,,,,,,,,,,,,,,,,
key.equipmentMeasureType,測定機器,測定機器,,,,,,,,,,,,,,,,
key.equipmentMonitorType,Monitor,進捗モニター,,,,,,,,,,,,,,,,
key.EquipmentName,Equipment Name,設備名,,,,,,,,,,,,,,,,
key.EquipmentNameCountOver,EquipmentNameCountOver256,設備名の文字数が256文字を超えています。,,,,,,,,,,,,,,,,
key.equipmentOtherType,Other,その他,,,,,,,,,,,,,,,,
key.EquipmentParentName,Equipment Parent Name,親設備名,,,,,,,,,,,,,,,,
key.EquipmentsManagementName,Equipments Management Name,設備管理名,,,,,,,,,,,,,,,,
key.EquipmentsParentIdentName,Equipments Parent Management Name,親設備管理名,,,,,,,,,,,,,,,,
key.equipmentTerminalType,Terminal,作業者端末,,,,,,,,,,,,,,,,
key.EquipmentType,Equipment Type,設備種別,,,,,,,,,,,,,,,,
key.EquipmentTypeProperty,Equipment Type Property,設備種別情報,,,,,,,,,,,,,,,,
key.ErrNotDeleteAliChildElement.,Not Delete Ali child element.,子要素ありで削除不可,,,,,,,,,,,,,,,,
key.ErrNotDeleteAliChildHierarchy,Not Delete Ali child hierarchy.,子階層ありで削除不可,,,,,,,,,,,,,,,,
key.ErrNotDeleteProtectedInformation,Not Delete allowed in the protected information.,保護された情報で削除不可,,,,,,,,,,,,,,,,
key.ErrNotDeleteWithoutSpecifiedID,Not Deleted without specified ID,指定IDなしで削除不可,,,,,,,,,,,,,,,,
key.ErrNotUpdatableIdentifierOverlap,Not Updatable an identifier overlap.,識別子重複で更新不可,,,,,,,,,,,,,,,,
key.ErrNotUpdatableNameDuplication,Not Updatable by name duplication.,名前重複で更新不可,,,,,,,,,,,,,,,,
key.ErrNotUpdatableWithoutParentHierarchyID,Not Updatable without specifying parent hierarchy ID.,指定親階層IDなしで更新不可,,,,,,,,,,,,,,,,
key.ErrNotUpdatableWithoutSpecifiedID,Not Updatable without a specified ID.,指定IDなしで更新不可,,,,,,,,,,,,,,,,
key.Error,Error,エラー,,,,,,,,,,,,,,,,
key.error.format.datetime,フォーマットが正しくありません。,フォーマットが正しくありません。,,,,,,,,,,,,,,,,
key.ErrorDetail,エラー詳細,エラー詳細,,,,,,,,,,,,,,,,
key.Everyday,Everyday,毎日,,,,,,,,,,,,,,,,
key.ExistOverwrite,%s already exists.\nDo you want to overwrite it?,%sは既に存在します。\n上書きしますか？,,,,,,,,,,,,,,,,
key.Exit,Exit,終了,,,,,,,,,,,,,,,,
key.Export,Export,エクスポート,,,,,,,,,,,,,,,,
key.ExportCSV,Export,データの書き出し,,,,,,,,,,,,,,,,
key.FaildToApprove,Faild to %s,%sに失敗しました。,,,,,,,,,,,,,,,,
key.FaildToProcess,Faild to process,処理に失敗しました。,,,,,,,,,,,,,,,,
key.FailedDownloadCount,Download failure : %d,ダウンロード失敗 : %d件,,,,,,,,,,,,,,,,
key.FailedFileOpenCount,Opend failure : %d,開けなかったファイル : %d件,,,,,,,,,,,,,,,,
key.FailedFileUpload,Failed to upload the file.,ファイルをサーバーにアップロードできませんでした。,,,,,,,,,,,,,,,,
key.FailedToChange,Failed To Change the %s,%sの変更に失敗しました。,,,,,,,,,,,,,,,,
key.FailedToCreate,Failed To Create the %s,%sの追加に失敗しました。,,,,,,,,,,,,,,,,
key.FailedToDelete,Failed To Delete the %s,%sの削除に失敗しました。,,,,,,,,,,,,,,,,
key.FailedToOutput,Failed to the output of %s.,%sの出力に失敗しました。,,,,,,,,,,,,,,,,
key.FailedToRemovePartsID,Failed to delete part ID,パーツIDの削除に失敗しました。,,,,,,,,,,,,,,,,
key.FailedToUpdate,Failed To Update the %s,%sの更新に失敗しました。,,,,,,,,,,,,,,,,
key.false,無効,無効,,,,,,,,,,,,,,,,
key.FieldSize,Field size,項目数,,,,,,,,,,,,,,,,
key.FigureNumber,Figure Number,図番,Figure Number,図番,,,,,,,,,,,,,,
key.File,File,ファイル,,,,,,,,,,,,,,,,
key.FileChoice,File Choice,ファイル選択,,,,,,,,,,,,,,,,
key.FileDownloadErrorOccured,Failed to download the file.,ファイルのダウンロードに失敗しました。,,,,,,,,,,,,,,,,
key.FileName,ファイル名,ファイル名,,,,,,,,,,,,,,,,
key.import.error.noFolder,There is no folder.,フォルダが存在しません。,,,,,,,,,,,,,,,,
key.FileNotExist,The file does not exist.,ファイルが存在しません。,,,,,,,,,,,,,,,,
key.FileOutputCompleted,ファイルに出力しました,ファイルに出力しました,,,,,,,,,,,,,,,,
key.FileOutputErrorOccured,ファイルへの出力中にエラーが発生しました,ファイルへの出力中にエラーが発生しました,,,,,,,,,,,,,,,,
key.filter.DelayReason,,,,,Delay Reason Filter,遅延理由フィルタ,〇,,,,,,,,,,,
key.filter.Show,,,,,Show Filter,表示フィルター,〇,,,,,,,,,,,
key.filter.TactTimeValueEarliest,,,,,Tact time boundary value filter（Earliest）:second,タクトタイム境界値フィルタ(最小値)：秒,〇,,,,,,,,,,,
key.filter.TactTimeValueSlowest,,,,,Tact time boundary value filter（Slowest）:second,タクトタイム境界値フィルタ(最大値)：秒,〇,,,,,,,,,,,
key.FinalApprover,Final approver,最終承認者,,,,,,,,,,,,,,,,
key.FixValue,fixValue,修正値,,,,,,,,,,,,,,,,
key.FollowStart,Follow Start,作業開始を追従する,,,,,,,,,,,,,,,,
key.FontColor,FontColor,文字色,,,,,,,,,,,,,,,,
key.FontSize,Font Size,フォントサイズ,,,,,,,,,,,,,,,,
key.ForbitEmptyData,Forbit empty data,空白入力を禁止する,,,,,,,,,,,,,,,,
key.ForbitRepeatedData,重複データの入力を禁止する,重複データの入力を禁止する,,,,,,,,,,,,,,,,
key.ForFuji.CycleMelody.Cycle30sec,,,,,30 seconds before end of cycle,サイクル 終了30秒前,〇,,,,,,,,,,,
key.ForFuji.CycleMelody.Cycle5sec,,,,,5 seconds before end of cycle,サイクル 終了5秒前,〇,,,,,,,,,,,
key.ForFuji.CycleMelody.Cycle60sec,,,,,One minute before the end of the cycle,サイクル 終了1分前,〇,,,,,,,,,,,
key.ForFuji.CycleMelody.CycleStart,,,,,Cycle start,サイクル 開始,〇,,,,,,,,,,,
key.ForFuji.CycleMelody.LunchTime30sec,,,,,30 minutes before lunch break,昼休憩 終了30秒前,〇,,,,,,,,,,,
key.ForFuji.CycleMelody.LunchTimeStart,,,,,Start lunch break,昼休憩 開始,〇,,,,,,,,,,,
key.ForFuji.CycleMelody.RefreshTime30sec,,,,,30 seconds before the end of the refresh time,リフレッシュタイム 終了30秒前,〇,,,,,,,,,,,
key.ForFuji.CycleMelody.RefreshTimeStart,,,,,Refresh time started,リフレッシュタイム 開始,〇,,,,,,,,,,,
key.ForFuji.CycleMelody.WorkEnd,作業終了,作業終了,,,,,,,,,,,,,,,,
key.ForFuji.CycleMelody.WorkStart30sec,,,,,Work start time 30 seconds ago,作業開始時刻 30秒前,〇,,,,,,,,,,,
key.ForFuji.CycleMelodySettingLabel,,,,,Cycle melody (Cycle takt time frame),サイクルメロディ (サイクルタクトタイムフレーム用),〇,,,,,,,,,,,
key.ForFuji.CycleTaktTime.DateFormat,,,,,MM / dd / yyyy,yyyy 年 MM 月 dd 日,〇,,,,,,,,,,,
key.ForFuji.CycleTaktTime.LunchTime,,,,,Lunch Time,Lunch Time,〇,,,,,,,,,,,
key.ForFuji.CycleTaktTime.RefreshTime,,,,,Refresh Time,Refresh Time,〇,,,,,,,,,,,
key.ForFuji.CycleTaktTimeSettingLabel,,,,,Cycle takt time (Cycle takt time frame),サイクルタクトタイム (サイクルタクトタイムフレーム用),〇,,,,,,,,,,,
key.ForFuji.CycleUnit,,,,,,台,〇,,,,,,,,,,,
key.ForFuji.LineOut,,,,,Line out,ラインアウト,〇,,,,,,,,,,,
key.ForFuji.PlannedNumber,,,,,Planned number,計画台数,〇,,,,,,,,,,,
key.ForFuji.ProductionVolume,,,,,Production volume,生産台数,〇,,,,,,,,,,,
key.ForFuji.Takt,,,,,Takt,タクト,〇,,,,,,,,,,,
key.format.MonthDay,MM/dd,MM/dd,,,,,,,,,,,,,,,,
key.format.YearMonth,yyyy/MM,yyyy/MM,,,,,,,,,,,,,,,,
key.Format1,Format A,フォーマットＡ,,,,,,,,,,,,,,,,
key.Format2,Format B,フォーマットＢ,,,,,,,,,,,,,,,,
key.Friday,Fri,金曜日,,,,,,,,,,,,,,,,
key.FromSymbol,-,～,,,,,,,,,,,,,,,,
key.FullScreen,Full Screen,フルスクリーン表示,,,,,,,,,,,,,,,,
key.FullScreenExit,Exit Full Screen,フルスクリーン終了,,,,,,,,,,,,,,,,
key.GroupProgress,グループ進捗,グループ進捗,,,,,,,,,,,,,,,,
key.HalfDay,HalfDay,半日,,,,,,,,,,,,,,,,
key.headerFontSize,Header Font Size,ヘッダーのフォントサイズ,,,,,,,,,,,,,,,,
key.HeaderRow,Header row,ヘッダー行,,,,,,,,,,,,,,,,
key.HideFrame,Hide frame (needs restarting),フレームを表示しない(再起動が必要),,,,,,,,,,,,,,,,
key.HierarchyName,Hierarchy Name,階層名,,,,,,,,,,,,,,,,
key.HoldPreviousData,Hold data in kanban.,カンバン毎に前回の入力情報を保持する,,,,,,,,,,,,,,,,
key.HolidayDate,休日,休日,,,,,,,,,,,,,,,,
key.HolidayImport,休日表の読み込み,休日表の読み込み,,,,,,,,,,,,,,,,
key.HolidayName,休日名,休日名,,,,,,,,,,,,,,,,
key.HorizonAxis,Horizon Axis,横軸,,,,,,,,,,,,,,,,
key.horizonRowHight,RowHight(px),行の高さ(ピクセル),,,,,,,,,,,,,,,,
key.hostSettings,端末設定,端末設定,,,,,,,,,,,,,,,,
key.Hour,hour,時間,,,,,,,,,,,,,,,,
key.ImageFile,Image Files,画像ファイル,,,,,,,,,,,,,,,,
key.ImplementTime,Implement Time,実施時間,,,,,,,,,,,,,,,,
key.Import,Import,インポート,Import,インポート,,,,,,,,,,,,,,
key.import.csv,CSV形式,CSV形式,,,,,,,,,,,,,,,,
key.import.csvFile,CSV File,CSVファイル,,,,,,,,,,,,,,,,
key.import.error.noFile,There is no file.,ファイルがありません。,,,,,,,,,,,,,,,,
key.import.error.readFile,The file could not be read.,ファイルが読み込めませんでした。,,,,,,,,,,,,,,,,
key.import.error.readSheet,The sheet of Excel file could not be read.,Excelファイルのシートが読み込めませんでした。,,,,,,,,,,,,,,,,
key.import.error.rename,The file name could not be changed.,ファイルが開かれている可能性があります。ファイルを閉じてから再実行してください。,,,,,,,,,,,,,,,,
key.import.excel,Excel形式,Excel形式,,,,,,,,,,,,,,,,
key.import.excelFile,Excel File,Excelファイル,,,,,,,,,,,,,,,,
key.import.header.csv,CSV形式(ヘッダ名指定),CSV形式(ヘッダ名指定),,,,,,,,,,,,,,,,
key.import.file,読み込みファイル,読み込みファイル,,,,,,,,,,,,,,,,
key.import.format.change,フォーマット変更,フォーマット変更,,,,,,,,,,,,,,,,
key.import.format.setting,フォーマット設定,フォーマット設定,,,,,,,,,,,,,,,,
key.import.holiday.delete,%s以降のデータを削除します。,%s以降のデータを削除します。,,,,,,,,,,,,,,,,
key.import.holiday.delete.failed,データの削除に失敗しました。,データの削除に失敗しました。,,,,,,,,,,,,,,,,
key.import.holiday.delete.success,%d件のデータを削除しました。,%d件のデータを削除しました。,,,,,,,,,,,,,,,,
key.import.holiday.regist.failed,休日追加 失敗,休日追加 失敗,,,,,,,,,,,,,,,,
key.import.holiday.regist.success,休日追加 成功,休日追加 成功,,,,,,,,,,,,,,,,
key.import.organization.failed,Organization import failed.,組織のインポートに失敗しました。,,,,,,,,,,,,,,,,
key.import.organization.success,Organization import success.\r\nNumber processed: %s,組織のインポートに成功しました。\r\n処理件数：%s 件,,,,,,,,,,,,,,,,
key.import.plans.regist.failed,予定表追加 失敗,予定表追加 失敗,,,,,,,,,,,,,,,,
key.import.plans.regist.success,予定表追加 成功,予定表追加 成功,,,,,,,,,,,,,,,,
key.import.production.error,There was an error reading the production plan.,不明なエラーが発生しました。,,,,,,,,,,,,,,,,
key.import.production.kanba,カンバン情報,カンバン情報,,,,,,,,,,,,,,,,
key.import.production.kanba.property,カンバンプロパティ情報,カンバンプロパティ情報,,,,,,,,,,,,,,,,
key.import.production.kanba.status,カンバンステータス情報,カンバンステータス情報,,,,,,,,,,,,,,,,
key.import.production.work.kanba,工程カンバン情報,工程カンバン情報,,,,,,,,,,,,,,,,
key.import.production.work.kanba.property,工程カンバンプロパティ情報,工程カンバンプロパティ情報,,,,,,,,,,,,,,,,
key.import.production.work,工程情報,工程情報,,,,,,,,,,,,,,,,
